_source,_ts,strategy,params,Sharpe,CAGR,MaxDD,Trades,WinRate,AvgTrade,FeeBps,EquityFinal,RobustScore,Pass
2025-10-23T20-26-35-338Z_Example Strategy (Baseline)\auditoria.csv,2025-10-23T20-26-35-338Z,Example Strategy (Baseline),{},-4.354981985217862,-0.5085530818755731,0.5243283415320906,,,,,5097.914,,
2025-10-23T20-26-35-345Z_Example Strategy (Baseline)\auditoria.csv,2025-10-23T20-26-35-345Z,Example Strategy (Baseline),{},-4.960240381695946,-0.5416823483236353,0.550485014001028,,,,,4771.40285,,
2025-10-23T20-26-35-353Z_Example Strategy (Baseline)\auditoria.csv,2025-10-23T20-26-35-353Z,Example Strategy (Baseline),{},-4.609920621432705,-0.5180110294249218,0.536779255638614,,,,,5004.81883,,
2025-10-23T20-26-35-360Z_Example Strategy (Baseline)\auditoria.csv,2025-10-23T20-26-35-360Z,Example Strategy (Baseline),{},-4.985398512527044,-0.5290088782423685,0.5388419423876227,,,,,4896.44761,,
2025-10-23T20-26-35-368Z_Example Strategy (Baseline)\auditoria.csv,2025-10-23T20-26-35-368Z,Example Strategy (Baseline),{},-4.414129482307505,-0.49603790492254296,0.5233884733502158,,,,,5220.95997,,
2025-10-23T20-26-35-376Z_Example Strategy (Baseline)\auditoria.csv,2025-10-23T20-26-35-376Z,Example Strategy (Baseline),{},-4.505691196663401,-0.5044041626111886,0.5171840275428168,,,,,5138.72281,,
2025-10-23T20-26-35-384Z_Example Strategy (Baseline)\auditoria.csv,2025-10-23T20-26-35-384Z,Example Strategy (Baseline),{},-4.635093136386719,-0.5075590439565167,0.5186597777943978,,,,,5107.69298,,
2025-10-23T20-26-35-392Z_Example Strategy (Baseline)\auditoria.csv,2025-10-23T20-26-35-392Z,Example Strategy (Baseline),{},-4.347586251157876,-0.4893138386927488,0.5040953067228802,,,,,5287.00392,,
2025-10-23T20-26-35-399Z_Example Strategy (Baseline)\auditoria.csv,2025-10-23T20-26-35-399Z,Example Strategy (Baseline),{},-4.447460391967343,-0.49186054554705305,0.5080873353284013,,,,,5261.99541,,
2025-10-23T20-26-35-408Z_Example Strategy (Baseline)\auditoria.csv,2025-10-23T20-26-35-408Z,Example Strategy (Baseline),{},-4.322984106025169,-0.4897198871713575,0.5022787021317113,,,,,5283.01698,,
2025-10-23T20-26-35-415Z_Example Strategy (Baseline)\auditoria.csv,2025-10-23T20-26-35-415Z,Example Strategy (Baseline),{},-4.590364340805395,-0.5060143563075956,0.5237611784831638,,,,,5122.88703,,
2025-10-23T20-26-35-422Z_Example Strategy (Baseline)\auditoria.csv,2025-10-23T20-26-35-422Z,Example Strategy (Baseline),{},-4.793519597020982,-0.5201448797989622,0.5264385308703446,,,,,4983.80224,,
2025-10-23T20-26-35-431Z_Example Strategy (Baseline)\auditoria.csv,2025-10-23T20-26-35-431Z,Example Strategy (Baseline),{},-4.523886147034416,-0.5014332764472185,0.513735444649193,,,,,5167.93364,,
2025-10-23T20-26-35-440Z_Example Strategy (Baseline)\auditoria.csv,2025-10-23T20-26-35-440Z,Example Strategy (Baseline),{},-4.303262619651557,-0.491780350401252,0.5076520215881768,,,,,5262.78302,,
2025-10-23T20-26-35-449Z_Example Strategy (Baseline)\auditoria.csv,2025-10-23T20-26-35-449Z,Example Strategy (Baseline),{},-4.430657050804555,-0.5074937248199742,0.5228885785911846,,,,,5108.33553,,
2025-10-23T20-26-35-457Z_Example Strategy (Baseline)\auditoria.csv,2025-10-23T20-26-35-457Z,Example Strategy (Baseline),{},-4.770494072386486,-0.5268711586242854,0.5415182411597216,,,,,4917.52252,,
2025-10-23T20-26-35-464Z_Example Strategy (Baseline)\auditoria.csv,2025-10-23T20-26-35-464Z,Example Strategy (Baseline),{},-4.496311479604546,-0.4973442530130413,0.5086500248455538,,,,,5208.12373,,
2025-10-23T20-26-35-477Z_Example Strategy (Baseline)\auditoria.csv,2025-10-23T20-26-35-477Z,Example Strategy (Baseline),{},-4.674253604875969,-0.517597248479048,0.5260742772143584,,,,,5008.89366,,
2025-10-23T20-26-35-486Z_Example Strategy (Baseline)\auditoria.csv,2025-10-23T20-26-35-486Z,Example Strategy (Baseline),{},-4.963919780717834,-0.5159888578912621,0.5302869178831079,,,,,5024.73105,,
2025-10-23T20-26-35-493Z_Example Strategy (Baseline)\auditoria.csv,2025-10-23T20-26-35-493Z,Example Strategy (Baseline),{},-4.513432864183917,-0.5167499428332312,0.5370351232028427,,,,,5017.23719,,
2025-10-23T20-26-35-500Z_Example Strategy (Baseline)\auditoria.csv,2025-10-23T20-26-35-500Z,Example Strategy (Baseline),{},-4.739549361159304,-0.5287706002462131,0.5388676165340157,,,,,4898.79694,,
2025-10-23T20-26-35-508Z_Example Strategy (Baseline)\auditoria.csv,2025-10-23T20-26-35-508Z,Example Strategy (Baseline),{},-4.138213400212652,-0.47957075311577946,0.5110556706240593,,,,,5382.62135,,
2025-10-23T20-26-35-515Z_Example Strategy (Baseline)\auditoria.csv,2025-10-23T20-26-35-515Z,Example Strategy (Baseline),{},-4.60601317375942,-0.5172953724030391,0.5281438575680146,,,,,5011.86636,,
2025-10-23T20-26-35-523Z_Example Strategy (Baseline)\auditoria.csv,2025-10-23T20-26-35-523Z,Example Strategy (Baseline),{},-4.627076914403832,-0.5153527869557919,0.5308095686456806,,,,,5030.99352,,
2025-10-23T20-26-35-531Z_Example Strategy (Baseline)\auditoria.csv,2025-10-23T20-26-35-531Z,Example Strategy (Baseline),{},-5.045746156200569,-0.5454955168845057,0.5512569546499692,,,,,4733.74493,,
2025-10-23T20-26-35-539Z_Example Strategy (Baseline)\auditoria.csv,2025-10-23T20-26-35-539Z,Example Strategy (Baseline),{},-4.658374674130581,-0.5168761895370895,0.5265395828202644,,,,,5015.99407,,
